"variable","negative.gate"
"CD19.logdata",0.869984178557325
"CD11b.logdata",1.13957085154438
"CD34.logdata",0.71382928861251
"CD45.logdata",1.94434720979269
"CD123.logdata",0.914719920773673
"CD33.logdata",0.836330371996906
"CD47.logdata",1.78108637393526
"CD7.logdata",0.401852383416887
"CD15.logdata",0.594707854693699
"CD44.logdata",1.73967385269444
"CD38.logdata",1.26514777866578
"CD3.logdata",1.38312962715191
"CD117.logdata",0.341256595787659
"HLADR.logdata",1.5101224389966
"CD64.logdata",0.889610531677392
"CD41.logdata",0.966850107877884
